pid	author	authorid	useip	hit_word	context
823278		\N	\N	x	[quote][size=2][url=forum.php?mod=redirect&goto=findpost&pid=822841&ptid=126153][color=#999999]yhxyzsj 发表于 2014-6-30 09:45[/color][/url][/size]  靠破解吃饭暴利是暴利，哪天进局子不说，技术一更新就又要学一大坨东西了 ...[/quote]  :curse:卧槽 破解怎么了 破解又没错
825702		\N	\N	那人	BOOL只有两个值，要么表示男，要么表示女，那人妖怎么办，所以用枚举
842897		\N	\N	某d	[i=s] 本帖最后由 黎志勇 于 2014-7-10 08:42 编辑 [/i]  被墙了呗，某Dang怕我们知道太多东西，所以索性不让你上那些网。你需要goagent、vpngate等科学上网手段。
845764		\N	\N	x	[quote][size=2][url=forum.php?mod=redirect&goto=findpost&pid=844931&ptid=124585][color=#999999]haxyek 发表于 2014-7-10 19:33[/color][/url][/size]  交保护费[/quote]  是是是，应该的，还请大人护我平安！
846411		\N	\N	x	终于如愿以偿！       祝天下XX人XXXX！
953381		\N	\N	X	...都好牛XXX...
987286		\N	\N	X	...嗯...有点猥琐....   就是   要切小xx...当然要5(捂)着啦!  哈哈哈~
997120		\N	\N	X	...程序员小伙[/color][/b]，更不用担心他OX时单调乏味，因为他的电脑里，自大学起就开始搜藏那些...
1904257		\N	\N	X	...照片]:照片有毒。。。
1912065		\N	\N	矮矬	...这让我们矮矬穷怎么办...
1916368		\N	\N	X	...、宪法顶个球！中国的法律都是.txt文件，不是.exe文件。
1943905		\N	\N	X	...、宪法顶个球！中国的法律都是.txt文件，不是.exe文件。
1963751		\N	\N	404	...post&pid=1963316&ptid=254404][color=#999999]开枪吧_Z7K5Z...
1997034		\N	\N	404	...丫牛逼神马，我爹在百度索根本无法显示！！C： 我爹404 not found！！！ D：我爹 Connec...
2036582		\N	\N	X	...1、XXX来签到啦！ 2、看了最近的新闻吗？法国巴黎遭到...
2036582		\N	\N	X	...1、XXX来签到啦！ 2、看了最近的新闻吗？法国巴黎遭到 I...
2036589		\N	\N	X	...1、XXX来签到啦！ 2、看了最近的新闻吗？法国巴黎遭到...
2036589		\N	\N	X	...1、XXX来签到啦！ 2、看了最近的新闻吗？法国巴黎遭到 I...
2038223		\N	\N	X	...1、XXX来签到啦！ 2、看了最近的新闻吗？法国巴黎遭到...
2038223		\N	\N	X	...1、XXX来签到啦！ 2、看了最近的新闻吗？法国巴黎遭到 I...
2121149		\N	\N	压榨	...包装一下还是好的,毕竟公司都是压榨劳动力的~...
2121721		\N	\N	X	...r=#666666]http://www.ny32xx.com/承德都市妇科医院[/color][/f...
2121721		\N	\N	X	...=#666666]http://www.ny32xx.com/承德都市妇科医院[/color][/fo...
2121746		\N	\N	X	...r=#666666]http://www.ny32xx.com/承德都市妇科医院[/color][/f...
2121746		\N	\N	X	...=#666666]http://www.ny32xx.com/承德都市妇科医院[/color][/fo...
2214410		\N	\N	X	...yy.yuqinge.com/haerin/dqdx/ 沈阳癫痫病检查 http://jiankang...
2214410		\N	\N	X	...p://haoyy.yuqinge.com/ccdx/lydx/ 铁岭癫痫病医院 http://hea...
2214960		\N	\N	压榨	...欺骗公司？各取所需罢了。血淋淋的现实，程序员被公司压榨的现象也很严重，为什么我们不为自己去谋取更多的福利...
2216619		\N	\N	X	...医院 http://jk99.zhong5.cn/xingbing/shxbyy/ 北京尖锐湿疣医院...
2216619		\N	\N	X	...k99.zhong5.cn/xingbing/shxbyy/ 北京尖锐湿疣医院 http://jk99...
2216619		\N	\N	X	...医院 http://jk99.zhong5.cn/xingbing/bjwgyy/ 北京尖锐湿疣医院资...
2216619		\N	\N	X	...资讯 http://jk99.zhong5.cn/xingbing/bjwgyy/bjwgyyzx/...
2216619		\N	\N	X	...n/xingbing/bjwgyy/bjwgyyzx/ 北京尖锐湿疣医院 http://jk99.zh...
2216619		\N	\N	X	...医院 http://jk99.zhong5.cn/xingbing/bjwgyy/bjwgyyjs/...
2216619		\N	\N	X	...案例 http://jk99.zhong5.cn/xingbing/bjwgyy/bjwgyyal/...
2216619		\N	\N	X	...性病 http://jk99.zhong5.cn/xingbing/ 尖锐湿疣 http://jk99...
